id;nom;telefon;email;observacions
1;Lead lime Peru;magenta Awesome COM;Emery_Davis@gmail.com;Table
2;Malaysian Ringgit Computers;Zimbabwe;Melvin43@hotmail.com;Enhanced Handmade non-volatile
3;silver Strategist;Solutions Designer;Casimer.Legros8@yahoo.com;plug-and-play cross-platform
4;Drive Buckinghamshire;synergy;Al.McCullough@hotmail.com;bypass multi-tasking Developer
5;Awesome;customer loyalty Auto Loan Account object-oriented;Buster.Marquardt95@yahoo.com;Incredible Generic Plastic Fish Philippine Peso
6;virtual;olive attitude-oriented Jewelery;Hudson_Monahan@gmail.com;reinvent Communications
7;benchmark Multi-channelled;Bedfordshire;Hollis.Strosin@yahoo.com;optical
8;Generic Cotton Keyboard Creative array;asymmetric Common SQL;Lourdes.Ferry@gmail.com;Sleek Concrete Pizza Ports
9;Trinidad and Tobago Dollar reboot;Ville Checking Account;Myrtie.Baumbach68@gmail.com;Pennsylvania web services yellow
10;Division Ohio;Reverse-engineered;Jaylon3@hotmail.com;Health harness
